index,filename,is_outlier,iso_score,reason
185,2020-10-02_016,False,-0.4308114319120063,
186,2020-10-02_017,False,-0.4188750354763394,
187,2020-10-02_018,False,-0.3881881723895368,
188,2020-10-02_019,False,-0.4349981744929962,
189,2020-10-02_020,False,-0.3914892453760894,
190,2020-10-02_021,False,-0.389253159950949,
191,2020-10-02_022,False,-0.3931048052848585,
192,2020-10-02_023,False,-0.39878000412492765,
193,2020-10-02_024,True,-0.5910595641442505,isolation_forest
194,2020-10-02_025,False,-0.4875443536671045,
195,2020-10-02_026,True,-0.4073743194795545,iqr_nbi
196,2020-10-02_027,False,-0.46056566822530515,
197,2020-10-02_028,False,-0.46174824407613035,
198,2020-10-02_029,False,-0.38230757970391616,
199,2020-10-02_030,False,-0.3948349010039139,
200,2020-10-02_031,False,-0.3816041185959694,
201,2020-10-02_032,False,-0.40290912808879237,
202,2020-10-02_033,True,-0.3787414254598403,iqr_flav
203,2020-10-02_034,False,-0.3829378560250244,
