,count,mean,std,min,25%,50%,75%,max
R700_p75,204.0,0.36557116637042925,0.13070685308068425,0.16801853477954865,0.257007360458374,0.35739874839782715,0.4288659170269966,0.812230795621872
R800_mean,204.0,0.7293719854795123,0.0448380935487291,0.5805492644530403,0.7015146520563612,0.7378840410983215,0.7580854944955451,0.8545050814263824
R800_std,204.0,0.1567688650417268,0.025152489219287172,0.09798170054356543,0.13956217344261457,0.15621590065738003,0.1723477602027243,0.24105570854447728
R800_p25,204.0,0.6403598958516822,0.061288471755501686,0.4416058361530304,0.6058080345392227,0.6479440033435822,0.6847858875989914,0.771264374256134
R800_p75,204.0,0.8449525852121559,0.04870287454740257,0.7001239061355591,0.8140858262777328,0.8474371433258057,0.8786114007234573,0.9847522377967834
FRI_mean,204.0,-2.849289870709386,1.8418145827867471,-7.46424019020456,-4.13205304046621,-2.8609548972698287,-1.8044894810448688,2.733590001964082
FRI_std,204.0,4.005212248918222,1.3060696935208014,1.1846278793547835,3.0275090173991934,3.807729770092573,4.783799662164712,7.742851251604521
FRI_p25,204.0,-3.7023287070098942,2.0792744460438444,-9.783333829637225,-4.995857047567375,-3.4593867086598475,-2.2997973591487595,1.872868005036299
FRI_p75,204.0,-0.7580107467372817,1.468297188161966,-3.8929618369344894,-1.620478415814766,-0.8869079043426469,-0.17706461182634597,4.282878191338879
NDRE_mean,204.0,0.42866206284155256,0.13562479609303923,0.0658214962660598,0.33783109028236435,0.42261856626901034,0.5354200845372419,0.679974222191884
NDRE_std,204.0,0.08012222362001944,0.030472027208323142,0.04021745078299487,0.06005790089642017,0.07131363867841486,0.0864317107381582,0.20620578147316912
NDRE_p25,204.0,0.37843470125911094,0.14992023892396938,0.03170722641832227,0.2795771939747298,0.3642108288703614,0.4950962845051981,0.6583047165643674
NDRE_p75,204.0,0.48571120774079246,0.13394785067174303,0.08258817478599556,0.40323527327384695,0.4961719949507978,0.5910711392828754,0.7131476150310404
NBI_mean,204.0,-0.222710981094169,0.27750770997988355,-1.5601997974481188,-0.3214952509854159,-0.1888746053050489,-0.09815181207201906,0.6221587258909514
NBI_std,204.0,7.833445432902819,7.895159604328543,0.0990167436957478,1.7510291903460222,5.448236934448348,11.378515173847433,44.644371227702216
NBI_p25,204.0,-0.31614269320294736,0.1974806747218541,-0.8568227134591098,-0.41849356611901933,-0.27011377331637487,-0.18236474281108817,0.30771005322485334
NBI_p75,204.0,-0.018583224874657026,0.19135564666175875,-0.259660893739529,-0.11347772748636588,-0.06425421584370762,-0.03189012247570606,0.9277404599255976
logR460_R410_mean,204.0,-0.18014797402275456,0.1403110144410563,-0.41924105980625864,-0.27848349515380943,-0.19749579618969265,-0.123471042357714,0.4401348097478113
logR460_R410_std,204.0,0.17893224996262233,0.06170497086541725,0.07960098372737022,0.13935439462170346,0.16492492757342736,0.20328402673328985,0.5598523325064836
logR460_R410_p25,204.0,-0.2713820290732988,0.1231882106495777,-0.5266186156807541,-0.3565022061617586,-0.2827829509920088,-0.20722892534096843,0.2777664908222219
logR460_R410_p75,204.0,-0.07192271339211519,0.16190075142723745,-0.3063244129751523,-0.16032621598228852,-0.0986913629825675,-0.019896682255887976,0.7232611782409328
R670_R460_mean,204.0,1.2103093047462354,0.5240149582536572,0.8433272035202007,0.9205364458612811,1.044220873577673,1.281907910824749,5.587638635133592
R670_R460_std,204.0,0.36072181611871085,0.35182157732396363,0.050917075161943076,0.10721465155213115,0.21642031961954838,0.5012150024236127,1.6565214002137323
R670_R460_p25,204.0,1.0057852042248985,0.36547232275036284,0.7787584735556243,0.8685694437065792,0.9146881859271518,1.0155577502135003,4.773682165485045
R670_R460_p75,204.0,1.297320132160916,0.674215788536263,0.8725213260836804,0.9469743624367373,1.0791971117106796,1.3278841384802662,6.512471815056899
R800_R460_mean,204.0,9.150162873259315,1.388954387911049,4.234395197853879,8.343724862936238,9.331800209656821,10.004380322334072,13.440337749697564
R800_R460_std,204.0,2.272930020482377,0.6016541850240136,0.9468546170585685,1.8517527203913595,2.2883601342278084,2.6211697477927793,4.118272468196663
R800_R460_p25,204.0,7.595541083277041,1.2778502855158222,3.3235530433800213,6.9026822266085155,7.66130436422538,8.48547443520927,11.519221731219355
R800_R460_p75,204.0,10.570874805697764,1.6631584159352093,4.684668635107149,9.512287503976017,10.731049289295246,11.627177607083606,15.186879618304795
FRI_x_NDRE_mean,204.0,-1.3932139574767626,0.865265421779262,-4.046602668983849,-1.967574451874316,-1.3038723565331407,-0.824758663965086,0.4607906980090773
