gen,max_r2,avg_r2,min_r2,std_r2,avg_n_features,std_n_features
81,0.5556798714949812,0.551464284496177,0.5008166365892949,0.011047817516113308,251.14,1.222183837781098
82,0.5556798714949812,0.5515419733236215,0.5048746292813947,0.01013985077952461,250.84,1.178020939259287
83,0.5564490042384429,0.551999048202386,0.4946966340569478,0.011160380826374699,250.82,1.2059297934235917
84,0.5568402752933549,0.5521969933353212,0.501783847140874,0.00986074075802033,250.36666666666667,1.2458821060687173
85,0.5568620300977934,0.5502922570679778,0.4942609063674924,0.013196459090467747,250.02666666666667,1.2433646108666419
86,0.5570311994076206,0.5533535653377908,0.5076266559296254,0.007622964599351313,249.82666666666665,1.2096647836855008
87,0.5570915385262334,0.5514855120993972,0.45896138869909164,0.01422727945727182,249.80666666666667,1.468317253033402
88,0.5570915385262334,0.5526718318532476,0.4951944904340695,0.01008812816771963,249.64,1.4527215837867902
89,0.5570915385262334,0.5511357577306853,0.4843111173039986,0.01591880332842516,249.52,1.3600000000000003
90,0.5570915385262334,0.5546920211835957,0.49655235182458757,0.00904155269465162,249.95333333333335,1.0477701189775466
91,0.5570915385262334,0.552356586493511,0.504147525626786,0.011156071099627855,250.0,1.0263202878893767
92,0.5570915385262334,0.5528539621356033,0.49994515612840446,0.010782158111471127,249.92666666666668,0.9736300917471459
93,0.5570915385262334,0.5531893959858003,0.48917267868882097,0.010485161708233388,250.0,0.8563488385776752
94,0.5570915385262334,0.55287186969564,0.48467242191365845,0.012264818468896042,249.95333333333335,0.8666923073130137
95,0.5570915385262334,0.5550718016423865,0.48905994779253914,0.008234308890775562,249.91333333333333,0.7566299550565581
96,0.5570915385262334,0.5535090363114676,0.508215437727023,0.009443021811745406,250.13333333333333,0.8615231988880057
97,0.5570915385262334,0.5536027795475191,0.4927262931116262,0.010542894641597727,249.88666666666666,0.9347845859994816
98,0.5570915385262334,0.5535674341566144,0.46363055308491335,0.011248133384833053,249.88,0.9231828998994005
99,0.5570915385262334,0.5530829728145144,0.4621855877305371,0.011558533167656707,249.8,0.938083151964686
100,0.5570915385262334,0.5529069183738878,0.48899330186781337,0.011555430098885147,249.89333333333335,0.8496796782055903
101,0.5570915385262334,0.5544086382493556,0.5160994878222718,0.008439538735660841,250.02,0.8443537963042111
102,0.5570915385262334,0.5537408528908501,0.4967070715935707,0.010088662143612516,249.98666666666668,0.9520971005569174
103,0.5570915385262334,0.5528176981835429,0.5010755567543095,0.011169878430654902,249.96,1.0886076734373438
104,0.5570915385262334,0.5521293809827384,0.5044923348228384,0.011901027817184526,250.0,1.1832159566199232
105,0.5570915385262334,0.5522753865867075,0.4640770277487077,0.013366344642313038,249.98,1.0675204916066015
106,0.5570915385262334,0.552552251109177,0.49243324895502544,0.01030113077521598,250.0,1.131370849898476
107,0.5570915385262334,0.552956891093683,0.4843721818350205,0.011009021333587676,250.04666666666665,1.162392169431451
108,0.5570915385262334,0.5535266001001098,0.48904874665483583,0.011631575287789983,249.91333333333333,1.1071685608895432
109,0.5570915385262334,0.5526879897483519,0.49675959655585905,0.011575498770505972,249.87333333333333,1.1621627348277102
110,0.5570915385262334,0.5517306169515026,0.5020650824511157,0.011671712661575734,249.75333333333333,1.2433109917563754
111,0.5570915385262334,0.5526135340566984,0.49972892673060887,0.011217136740432385,249.84666666666666,1.0310943485227506
112,0.5570915385262334,0.5521007642691323,0.48630487684719065,0.012628932804568808,249.80666666666667,1.1644550466014374
113,0.5570915385262334,0.5525170103143874,0.48315607603063426,0.011759166957927298,249.88,1.0192807921928742
114,0.5570915385262334,0.5532585999514059,0.4955861365251807,0.011129923222807168,249.91333333333333,1.0062250687042582
115,0.5570915385262334,0.5525002313571855,0.4853817209067932,0.012856375703129032,249.95333333333335,1.1392200060665287
116,0.5570915385262334,0.5526517743529911,0.4978425504731076,0.011706434550184344,250.13333333333333,1.0498677165349082
117,0.5570915385262334,0.5526251093502271,0.5070492394184025,0.010645249898060063,250.1,1.2041594578792296
118,0.5570915385262334,0.553171084447902,0.4858859249527468,0.011943724179354843,250.10666666666665,1.195249857654132
119,0.5570915385262334,0.552134408029387,0.49784612664654776,0.012151587660662584,250.13333333333333,1.3046923860520618
